"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3648","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","3791","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","4991","test_order_bottom_button_first_dataset","tests","2026-09-09","passed","2026-09-09","TestOrder","test_order","",""
"","5971","test_yandex_logo_redirect","tests","2026-09-09","passed","2026-09-09","TestNavigation","test_order","",""
"","3590","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","3752","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","4935","test_order_top_button_second_dataset","tests","2026-09-09","passed","2026-09-09","TestOrder","test_order","",""
"","3280","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","5072","test_order_bottom_button_second_dataset","tests","2026-09-09","passed","2026-09-09","TestOrder","test_order","",""
"","3541","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","3707","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","3105","Переход на главную страницу по логотипу Самоката","tests","2026-09-09","passed","2026-09-09","TestNavigation","test_order","",""
"","3903","Проверка соответствия вопроса и ответа","tests","2026-09-09","passed","2026-09-09","TestQuestions","test_questions","",""
"","5202","Заказ через верхнюю кнопку с первым набором данных","tests","2026-09-09","passed","2026-09-09","TestOrder","test_order","",""
